date,GDP Growth (%),Inflation Rate (%),Unemployment Rate (%),Exchange Rate (USD)
2023-01-01,2.71933336640949,5.69115300971441,4.96143065047416,
2022-01-01,3.08960746444744,7.96757361617945,5.26461597288318,
2021-01-01,6.25985128447172,3.46692585313082,6.03376129229279,
2020-01-01,-2.93204334405938,1.9209680056685,6.58528753143071,
2019-01-01,2.64221643519326,2.20607305781525,5.5829801043763,
2018-01-01,3.28661298847909,2.45036243850175,5.75639790322219,
2017-01-01,3.46023911788988,2.25427651934813,5.91614141999205,
2016-01-01,2.82055728507054,1.60553917414213,6.01033134504685,
2015-01-01,3.12613558771196,1.44385719270808,6.04884902024337,
2014-01-01,3.12386991048261,2.35449052820358,6.01622857271861,
2013-01-01,2.86822214282918,2.65167342916577,6.167133899401,
2012-01-01,2.70911515835066,3.72532666110646,6.22827279799595,
2011-01-01,3.32713269662275,4.82239636013325,6.24048204330454,
2010-01-01,4.52954597288344,3.32634463368643,6.38946472723596,
2009-01-01,-1.35578209060768,2.86044855902672,6.51468712239899,
2008-01-01,2.06249593292573,8.94995335353387,5.93669404614037,
2007-01-01,4.37327669000229,4.81023704342912,5.89967661605856,
2006-01-01,4.4427926960624,4.26717463390264,6.10658593841064,
2005-01-01,4.00586591028021,4.10725070715931,6.36646521138731,
2004-01-01,4.46925885476534,3.51799903099596,6.44967688536565,
2003-01-01,3.10427567346218,3.02504526252236,6.5712830050912,
2002-01-01,2.30283698886824,2.90799857032207,6.46830810118524,
2001-01-01,2.02540286904951,3.83657262052543,6.22346830929282,
2000-01-01,4.53109478934492,3.43351563418767,6.13111802117014,
1999-01-01,3.54971735296617,3.04194667094533,6.26552753794956,
1998-01-01,2.85392534426954,5.09729149331441,6.12523068040456,
1997-01-01,3.92971386087353,5.55412988949405,5.95403565786869,
1996-01-01,3.57468642667355,6.5260956937258,5.90867792430197,
1995-01-01,3.08461458014557,9.07738095238091,5.82078571324882,
1994-01-01,3.32394244259369,10.2479355556119,5.66775406003629,
1993-01-01,1.81297600755461,7.14458706876256,5.41783709780902,
1992-01-01,2.01925660379804,7.63610852336974,5.14993854227532,
1991-01-01,1.25582639172117,8.99693873494331,4.99634037189047,
1990-01-01,2.76454112195918,8.06346090938833,,
1989-01-01,3.71718416002003,6.92390503711238,,
1988-01-01,4.59172623866458,7.11340652931347,,
1987-01-01,3.72462650916714,5.71011938486679,,
